Year,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST_PCT,AST_PER_TO,AST,OREB_PCT,DREB_PCT,REB_PCT,TOV_PCT,eFG_PCT,TS_PCT,PACE,PIE,POSS
2007,New York Knicks,82,33,49,4001,104.3,107.4,-3.1,52.8,1.09,14.7,33.7,71.4,52.7,18.3,49.4,53.9,91.89,47.1,"7,661"
2007,Orlando Magic,82,40,42,3956,104.1,103.3,0.8,53,1.1,15.1,33.3,69.7,51.9,18.6,50,54.4,90.54,50.2,"7,465"
2007,Philadelphia 76ers,82,35,47,3976,102.4,105.6,-3.2,56.9,1.33,16.1,30.6,67.8,49.3,16.5,48,53,91.84,48.9,"7,606"
2007,Phoenix Suns,82,61,21,3981,112.9,105.5,7.4,62.6,1.78,19.3,26.2,68.3,48.4,14.9,55.1,59,96.45,56.1,"8,002"
2007,Portland Trail Blazers,82,32,50,3991,103.8,108.6,-4.8,52.6,1.22,15,32.6,69.7,50.7,16.6,48.3,53,89.36,45.9,"7,431"
2007,Sacramento Kings,82,33,49,3961,105.1,106.7,-1.6,56.6,1.39,15.8,26.7,69.2,47.7,15.1,49.1,54.5,95.83,48.5,"7,898"
2007,San Antonio Spurs,82,58,24,3956,108.6,99.4,9.2,60.5,1.6,17.8,27.9,71.5,50.5,15.3,52.1,56.1,90.22,56.9,"7,440"
2007,Seattle SuperSonics,82,31,51,3966,105.9,108.9,-3,55.6,1.34,16.2,31.2,67.6,49.2,16.5,49.9,54.4,92.92,47.4,"7,674"
2007,Toronto Raptors,82,47,35,3951,105.7,104.4,1.2,60.1,1.65,17.5,25,71.1,48.1,14.3,50.4,55,93.86,51.4,"7,719"
2007,Utah Jazz,82,51,31,3961,108.6,105.6,3,65.9,1.58,18.5,35.2,72.1,53.4,16.7,50.2,55.1,92.81,53.1,"7,661"
2007,Washington Wizards,82,41,41,3966,108.7,109.1,-0.4,54.1,1.47,15.5,31.2,67.8,48.9,14.4,49.1,54.2,95.33,48.5,"7,870"
2008,Atlanta Hawks,82,37,45,3971,105.5,107.3,-1.8,60.6,1.48,17,32.9,68.2,50.6,16,48.3,53.5,92.35,49.8,"7,634"
2008,Boston Celtics,82,66,16,3951,108.8,98.1,10.8,61.4,1.47,17.6,30.6,70.7,51.8,16.4,52.2,56.9,91.88,58.1,"7,575"
2008,Charlotte Bobcats,82,32,50,3976,103.7,108.2,-4.5,59.1,1.45,16.6,29.4,67.4,48.3,15.7,49.2,53.2,92.75,46.9,"7,678"
2008,Chicago Bulls,82,33,49,3961,102.9,106,-3.1,60.6,1.51,16.7,32.5,68.7,50,15.4,47,51.5,94.04,48,"7,754"
2008,Cleveland Cavaliers,82,45,37,3971,104.8,105.4,-0.6,55.8,1.43,15.7,33.4,71.5,51.8,15.2,48,52,91.06,49,"7,540"
2008,Dallas Mavericks,82,51,31,3946,109.5,104.7,4.8,56.9,1.66,16.7,30,71.6,51.4,13.8,50.2,55.4,91.38,53.6,"7,518"
2008,Denver Nuggets,82,50,32,3971,108.9,105.5,3.4,61.2,1.68,17.7,29.2,68.6,49.4,14.4,51,55.7,100.58,52.9,"8,330"
2008,Detroit Pistons,82,59,23,3946,109.8,101.5,8.3,61.1,1.92,17.8,32.7,70,51.3,13.1,49.5,53.9,88.54,55.2,"7,279"
2008,Golden State Warriors,82,48,34,3956,110.4,108.5,1.9,53.9,1.69,16.3,30.1,67.2,48.1,13.1,51.1,54.8,99.96,49.6,"8,249"
